Simplified	Pinyin	english
﻿爱	ài	love
八	bā	eight
爸爸	bàba	Dad
杯子	bēizi	cup; glass
北京	Běijīng	Beijing
本	běn	measure word for books
不客气	bú kèqi	you're welcome; don't be polite
不	bù	no; not
菜	cài	dish (type of food); vegetables
茶	chá	tea
吃	chī	eat
出租车	chūzūchē	taxi; cab
打电话	dǎ diànhuà	make a phone call
大	dà	big; large
的	de	indicates possession, like adding 's to a noun
点	diǎn	a dot; a little; o'clock
电脑	diànnǎo	computer
电视	diànshì	television; TV
电影	diànyǐng	movie; film
东西	dōngxi	things; stuff
都	dōu	all; both
读	dú	to read; to study
对不起	duìbuqǐ	sorry
多	duō	many
多少	duōshao	how much?; how many?
儿子	érzi	son
二	èr	two
饭店	fàndiàn	restaurant; hotel
飞机	fēijī	airplane
分钟	fēnzhōng	minute; (measure word for time)
高兴	gāoxìng	happy; glad
个	ge	general measure word
工作	gōngzuò	work; a job
狗	gǒu	dog
汉语	Hànyǔ	Chinese language
好	hǎo	good
号	hào	number; day of a month
喝	hē	to drink
和	hé	and; with
很	hěn	very; quite
后面	hòumian	back; behind
回	huí	to return; to reply; to go back
会	huì	know how to
几	jǐ	how many; several; a few
家	jiā	family; home
叫	jiào	to be called
今天	jīntiān	today
九	jiǔ	nine
开	kāi	to open; to start; to operate (a vehicle)
看	kàn	see; look at; to watch
看见	kànjiàn	see; catch sight of
块	kuài	lump; piece; sum of money
来	lái	come; arrive; ever since; next
老师	lǎoshī	teacher
了	le	indicates a completed or finished action
冷	lěng	cold
里	lǐ	inside; Chinese mile (~.5 km)
六	liù	six
妈妈	māma	mom; mum
吗	ma	indicates a yes/no question (added to a statement)
买	mǎi	to buy
猫	māo	cat
没关系	méi guānxi	it doesn't matter; never mind
没有	méiyǒu	not have; there is not
米饭	mǐfàn	(cooked) rice
明天	míngtiān	tomorrow
名字	míngzi	name
哪	nǎa	which; how
哪儿	nǎr	where? (Beijing accent)
那	nà	that; then
呢	ne	indicates a question; how about...?;
能	néng	can; be able
你	nǐ	you (singular)
年	nián	year
女儿	nǚ'ér	daughter
朋友	péngyou	friend
漂亮	piàoliang	pretty; beautiful
苹果	píngguǒ	apple
七	qī	seven
钱	qián	money; coin
前面	qiánmiàn	in front
请	qǐng	please; invite; to treat someone to something
去	qù	go; to leave
热	rè	heat; hot
人	rén	person; man; people
认识	rènshi	recognize; know (a person)
三	sān	three
商店	shāngdiàn	shop; store
上	shàng	above; up
上午	shàngwǔ	late morning (before noon)
少	shǎo	few; little
谁	shéi	who
什么	shénme	what? (replaces the noun to turn a statement into a question)
十	shí	ten
时候	shíhou	time
是	shì	be; is; are; am
书	shū	book; letter
水	shuǐ	water
水果	shuǐguǒ	fruit
睡觉	shuì jiào	to sleep; go to bed
说	shuō	speak
四	sì	four
岁	suì	years old; age
他	tā	he; him
她	tā	she
太	tài	too (much)
天气	tiānqì	weather
听	tīng	listen; hear
同学	tóngxué	fellow student; schoolmate
喂	wèi	hello (on the phone)
我	wǒ	I; me
我们	wǒmen	we; us
五	wǔ	five
喜欢	xǐhuan	to like
下	xià	fall; below
下午	xiàwǔ	afternoon
下雨	xiàyǔ	to rain
先生	xiānsheng	Mr.; Sir
现在	xiànzài	now
想	xiǎng	think; believe; suppose; would like to
小	xiǎo	small; young
小姐	xiǎojie	young lady; miss; Ms.
些	xiē	some; few; several
写	xiě	to write; to compose
谢谢	xièxie	thank you
星期	xīngqī	week
学生	xuésheng	student
学习	xuéxí	learn; to study
学校	xuéxiào	school
一	yī	one; once; a
衣服	yīfu	clothes
医生	yīshēng	doctor
医院	yīyuàn	hospital
椅子	yǐzi	chair
一点儿	yìdiǎnr	a bit; a few
有	yǒu	have
月	yuè	moon; month
在	zài	at; on; in; indicates an action in progress
再见	zàijiàn	goodbye; see you later
怎么	zěnme	how?
怎么样	zěnmeyàng	how about?; how is/was it?
这	zhè	this
中国	Zhōngguó	China
中午	zhōngwǔ	noon; midday
住	zhù	to live; reside; to stop
桌子	zhuōzi	table; desk
字	zì	letter; character
昨天	zuótiān	yesterday
做	zuò	do; make
坐	zuò	sit
﻿吧	ba	particle indicating polite suggestion; | onomatopoeia | bar (serving drinks, providing internet access, etc.)
白	bái	white; snowy; pure; bright; empty (Kangxi radical 106)
百	bǎi	hundred
帮助	bāngzhù	help; assist; aid
报纸	bàozhǐ	newspaper
比	bǐ	compare; (indicates comparison) (Kangxi radical 81); to gesticulate as one talks
别	bié	don't do something; don't | depart; | other; difference; distinguish
宾馆	bīnguǎn	guesthouse; hotel
长	cháng, zhǎng	long; length | grow; chief (Kangxi radical 168)
唱歌	chànggē	sing (a song)
出	chū	go out; occur
穿	chuān	to wear; put on; penetrate
次	cì	(mw for number of times of occurrence); nth; order
从	cóng	from; obey; observe
错	cuò	mistake; error; blunder; miss an opportunity
打篮球	dǎ lánqiú	play basketball
大家	dàjiā	everyone
到	dào	arrive (at a place); until (a time)
得	de	(complement particle)
等	děng	to wait; rank; equal; etc.
弟弟	dìdi	younger brother
第一	dìyī	first; number 1
懂	dǒng	understand; know
对	duì	correct; a pair; to face; be opposite; to; towards
房间	fángjiān	room
非常	fēicháng	extremely; extraordinary; very
服务员	fúwùyuán	waiter/waitress; server; attendant
高	gāo	high; tall (Kangxi radical 189)
告诉	gàosu	to tell; inform
哥哥	gēge	older brother
给	gěi	to give; to grant; (passive particle)
公共汽车	gōnggòng qìchē	(public) bus
公司	gōngsī	company; corporation
贵	guì	expensive; noble; honorable; Guizhou province (abbreviation)
过	guò	to pass; to cross; go over; (indicates a past experience)
还	hái	still; yet; in addition; even
孩子	háizi	child; children; son or daughter
好吃	hǎochī	tasty
黑	hēi	black; dark (Kangxi radical 203); Heilongjiang province (abbreviation)
红	hóng	red; symbol of success; bonus; popular
火车站	huǒchēzhàn	train station
机场	jīchǎng	airport; airfield
鸡蛋	jīdàn	(chicken) egg
件	jiàn	(mw for things, clothes, and items)
教室	jiàoshì	classroom
姐姐	jiějie	older sister
介绍	jièshào	to introduce; recommend; introduction
进	jìn	enter; come in
近	jìn	near; close (to)
就	jiù	then; at once; just; only; with regard to
觉得	juéde	feel; think
咖啡	kāfēi	coffee
开始	kāishǐ	begin; to start; beginning
考试	kǎoshì	test; exam; to give or take a test
可能	kěnéng	possible; maybe
可以	kěyǐ	can; may; possible; okay
课	kè	class; subject; lesson; course
快	kuài	fast; quick; swift
快乐	kuàilè	happy
累	lèi	tired
离	lí	leave; depart; go away; apart from
两	liǎng	two; 2; both; (unit of weight equal to 50 grams)
零	líng	zero; remnant
路	lù	road; path; journey; route
旅游	lǚyóu	trip; journey; tour
卖	mài	to sell
慢	màn	slow
忙	máng	busy
每	měi	each; every
妹妹	mèimei	younger sister
门	mén	door; opening; gate (Kangxi radical 169)
面条	miàntiáo	noodles
男	nán	male
您	nín	you (polite)
牛奶	niúnǎi	cow's milk
女	nǚ	woman; female (Kangxi radical 38)
旁边	pángbiān	side, beside
跑步	pǎobù	to run; to jog
便宜	piányi	cheap
票	piào	ticket; bank note; a vote
妻子	qīzi	wife
起床	qǐ chuáng	get out of bed
千	qiān	one thousand
铅笔	qiānbǐ	pencil
晴	qíng	clear; fine (as of weather)
去年	qùnián	last year
让	ràng	ask; let; yield
日	rì	sun; day; date; time (Kangxi radical 72)
上班	shàngbān	go to work; be on duty
身体	shēntǐ	health; (human) body
生病	shēngbìng	get sick; fall ill
生日	shēngrì	birthday
时间	shíjiān	time; period
事情	shìqing	matter; affair; thing; business
手表	shǒubiǎo	wristwatch
手机	shǒujī	mobile (cell) phone
说话	shuōhuà	to talk; speak
送	sòng	deliver; to carry; to give; send
虽然	suīrán	although; even though
但是	dànshì	but; however
它	tā	it
踢足球	tīzúqiú	to play football/soccer
题	tí	topic; subject; question on a test or assignment
跳舞	tiàowǔ	to dance
外	wài	outer; outside; in addition; foreign
完	wán	to finish; be over; complete
玩	wán	to play; have a good time; visit; enjoy
晚上	wǎnshang	evening; night
往	wǎng	to go (in a direction); towards; in the past
为什么	wèishénme	why?; for what reason?
问	wèn	ask; inquire
问题	wèntí	question; problem
西瓜	xīguā	watermelon
希望	xīwàng	to hope; wish for; to desire
洗	xǐ	to wash; bathe
小时	xiǎoshí	hour
笑	xiào	to laugh; to smile
新	xīn	new; Xinjiang autonomous region (abbreviation)
姓	xìng	surname; family name
休息	xiūxi	to rest; take a break
雪	xuě	snow
颜色	yánsè	color
眼睛	yǎnjing	eye
羊肉	yángròu	mutton; lamb
药	yào	medicine; drug; cure; chemical
要	yào	to want; to need; will/shall; important
也	yě	also; too
一起	yìqǐ	together; in the same place
一下	yíxià	a little bit/while; one time; once
已经	yǐjing	already
意思	yìsi	meaning; idea; opinion
因为	yīnwèi	because
所以	suǒyǐ	so; therefore; as a result
阴	yīn	cloudy (weather); yin (the negative principle of Yin and Yang); secret; the moon; negative; shade
游泳	yóuyǒng	to swim
右边	yòubian	the right (as opposed to left) side
鱼	yú	fish (Kangxi radical 195)
远	yuǎn	far; distant; remote
运动	yùndòng	(physical) exercise; movement; sports; campaign
再	zài	again; once more
早上	zǎoshang	(early) morning
丈夫	zhàngfu	husband; man
找	zhǎo	try to find; look for; seek; to give change
着	zhe	-ing (indicating action in progress)
真	zhēn	real; true; genuine
正在	zhèngzài	in the process of (doing something); currently
知道	zhīdao	know; be aware of
准备	zhǔnbèi	prepare; get ready
走	zǒu	to walk; to go; to move (Kangxi radical 156)
最	zuì	the most; -est; (indicator for superlative)
左边	zuǒbian	the left side; the left
﻿阿姨	āyí	auntie; step-mother; mother's younger sister
啊	a	ah; (particle showing elation, doubt, puzzled surprise, or approval)
矮	ǎi	short; low
爱好	àihào	hobby; fond of; to like; interest
安静	ānjìng	quiet; peaceful; calm
把	bǎ	(mw for things with handles); (pretransitive particle); to hold
班	bān	team; class; squad
搬	bān	to move; to transport
办法	bànfǎ	method; way (of doing something)
办公室	bàngōngshì	office
半	bàn	half; semi-; incomplete
帮忙	bāngmáng	to help
包	bāo	to cover; to wrap; to hold; include; (mw for containers, packages, etc.)
饱	bǎo	eat until full; satisfied
北方	běifāng	north; the northern part of the country
被	bèi	by (indicates passive voice sentences); a quilt/blanket
鼻子	bízi	nose
比较	bǐjiào	compare; contrast; relatively
比赛	bǐsài	(sports) match; competition
笔记本	bǐjìběn	notebook
必须	bìxū	must; have to
变化	biànhuà	change
别人	biéren	other people; others
冰箱	bīngxiāng	refrigerator
不但	búdàn	not only
而且	érqiě	moreover; in addition; as well as
菜单	càidān	menu
参加	cānjiā	participate; join; take part in
草	cǎo	grass; straw; draft (of a document)
层	céng	(mw for layers, floors of buildings)
差	chà	differ from; fall short of; poor; inferior
超市	chāoshì	supermarket
衬衫	chènshān	shirt; blouse
成绩	chéngjì	achievement; success; results (of work or study)
城市	chéngshì	city or town
